pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm
PD0001,소파,가구,거실가구
PD0002,스툴/리빙의자,가구,거실가구
PD0003,탁자,가구,거실가구
PD0004,장식장/진열장,가구,거실가구
PD0005,기타가구,가구,기타가구
PD0006,책상,가구,사무용/학생용가구
PD0007,책상의자,가구,사무용/학생용가구
PD0008,책장,가구,사무용/학생용가구
PD0009,사무용/학생용가구세트,가구,사무용/학생용가구
PD0010,선반장/행거,가구,수납가구
PD0011,서랍장/수납장,가구,수납가구
PD0012,신발장,가구,수납가구
PD0013,시공가구,가구,시공/DIY가구
PD0014,DIY가구,가구,시공/DIY가구
PD0015,야외의자/벤치,가구,야외용가구
PD0016,유아동침대,가구,유아동가구
PD0017,유아동옷장,가구,유아동가구
PD0018,유아동수납장,가구,유아동가구
PD0019,유아동의자,가구,유아동가구
PD0020,유아공부상/디딤대,가구,유아동가구
PD0021,식탁,가구,주방가구
PD0022,식탁의자,가구,주방가구
PD0023,식탁세트,가구,주방가구
PD0024,주방수납장,가구,주방가구
PD0025,침대,가구,침실가구
PD0026,침실가구세트,가구,침실가구
PD0027,매트리스,가구,침실가구
PD0028,협탁,가구,침실가구
PD0029,화장대,가구,침실가구
PD0030,장롱,가구,침실가구
PD0031,붙박이장,가구,침실가구
PD0032,운동보조식품,건강식품,건강보조식품
PD0033,다이어트보조식품,건강식품,건강보조식품
PD0034,미용보조식품,건강식품,건강보조식품
PD0035,건강보조식품세트,건강식품,건강보조식품
PD0036,과일즙,건강식품,건강진액
PD0037,채소즙,건강식품,건강진액
PD0038,혼합즙,건강식품,건강진액
PD0039,발효원액,건강식품,건강진액
PD0040,로열제리,건강식품,꿀
PD0041,토종꿀,건강식품,꿀
PD0042,양봉꿀,건강식품,꿀
PD0043,꿀세트,건강식품,꿀
PD0044,종합영양제,건강식품,영양제
PD0045,일반비타민,건강식품,영양제
PD0046,발포비타민,건강식품,영양제
PD0047,오메가3/기타추출오일,건강식품,영양제
PD0048,칼슘/미네랄,건강식품,영양제
PD0049,엽산/철분,건강식품,영양제
PD0050,자연유래영양제,건강식품,영양제
PD0051,유산균/프로바이오틱스,건강식품,영양제
PD0052,글루코사민,건강식품,영양제
PD0053,루테인,건강식품,영양제
PD0054,기타영양제,건강식품,영양제
PD0055,영양제세트,건강식품,영양제
PD0056,홍삼근,건강식품,홍삼/인삼가공식품
PD0057,홍삼액,건강식품,홍삼/인삼가공식품
PD0058,홍삼정/분말/환,건강식품,홍삼/인삼가공식품
PD0059,홍삼절편,건강식품,홍삼/인삼가공식품
PD0060,홍삼세트,건강식품,홍삼/인삼가공식품
PD0061,인삼가공식품,건강식품,홍삼/인삼가공식품
PD0062,어린이홍삼,건강식품,홍삼/인삼가공식품
PD0063,홍삼/인삼혼합세트,건강식품,홍삼/인삼가공식품
PD0064,안마의자,건강용품,건강가전
PD0065,족욕기,건강용품,건강가전
PD0066,녹즙기/원액기,건강용품,건강가전
PD0067,향초,건강용품,건강관리용품
PD0068,디퓨저,건강용품,건강관리용품
PD0069,기타아로마용품,건강용품,건강관리용품
PD0070,간병/시니어생활편리용품,건강용품,건강관리용품
PD0071,보호대/보행보조용품,건강용품,건강관리용품
PD0072,물리치료/의료기용품,건강용품,건강관리용품
PD0073,체온계,건강용품,건강측정용품
PD0074,체중계/신장계,건강용품,건강측정용품
PD0075,혈당계/혈압계,건강용품,건강측정용품
PD0076,기타건강측정용품,건강용품,건강측정용품
PD0077,온/냉찜질용품,건강용품,안마/찜질용품
PD0078,손난로/핫팩,건강용품,안마/찜질용품
PD0079,안마용품,건강용품,안마/찜질용품
PD0080,안전상비의약외품,건강용품,일반의약외품
PD0081,콘돔,건강용품,일반의약외품
PD0082,건강마스크,건강용품,일반의약외품
PD0083,밴드류,건강용품,일반의약외품
PD0084,렌즈관리용품,건강용품,일반의약외품
PD0085,임신/배란테스트기,건강용품,일반의약외품
PD0086,기타,건강용품,일반의약외품
PD0087,안전상비의약품,건강용품,일반의약품
PD0088,안전상비의약품세트,건강용품,일반의약품
PD0089,국물용건멸치,건해산물,건어물
PD0090,볶음조림용건멸치,건해산물,건어물
