br_c,cop_c,zon_hlv,zon_mcls
A010001,A01,Z17,Z17024
A010002,A01,Z17,Z17018
A010003,A01,Z17,Z17011
A010004,A01,Z16,Z16007
A010005,A01,Z17,Z17005
A010006,A01,Z13,Z13003
A010007,A01,Z17,Z17001
A010008,A01,Z17,Z17020
A010009,A01,Z10,Z10003
A010010,A01,Z15,Z15003
A010011,A01,Z17,Z17001
A010012,A01,Z12,Z12015
A010013,A01,Z03,Z03001
A010014,A01,Z16,Z16006
A010015,A01,Z11,Z11017
A010016,A01,Z13,Z13005
A010017,A01,Z17,Z17009
A010018,A01,Z14,Z14005
A010019,A01,Z14,Z14002
A010020,A01,Z06,Z06013
A010021,A01,Z17,Z17003
A010022,A01,Z16,Z16016
A010023,A01,Z17,Z17006
A010024,A01,Z11,Z11004
A010025,A01,Z13,Z13001
A010026,A01,Z16,Z16015
A010027,A01,Z10,Z10013
A010028,A01,Z10,Z10008
A010029,A01,Z10,Z10025
A010030,A01,Z14,Z14004
A010031,A01,Z14,Z14004
A010032,A01,Z10,Z10043
A010033,A01,Z17,Z17004
A010034,A01,Z10,Z10028
A010035,A01,Z09,Z09014
A010036,A01,Z17,Z17021
A010037,A01,Z04,Z04003
A010038,A01,Z08,Z08008
A010039,A01,Z10,Z10042
A010040,A01,Z10,Z10003
A010041,A01,Z10,Z10003
A010042,A01,Z10,Z10020
A010043,A01,Z10,Z10003
A010044,A01,Z10,Z10008
A010045,A01,Z16,Z16003
A010046,A01,Z11,Z11015
A010047,A01,Z10,Z10021
A010048,A01,Z17,Z17008
A010049,A01,Z11,Z11012
A010050,A01,Z05,Z05009
A010051,A01,Z10,Z10002
A010052,A01,Z06,Z06002
A010053,A01,Z10,Z10037
A010054,A01,Z17,Z17024
A010055,A01,Z17,Z17018
A010056,A01,Z16,Z16007
A010057,A01,Z02,Z02001
A010058,A01,Z10,Z10047
A010059,A01,Z17,Z17022
A010060,A01,Z17,Z17004
A010061,A01,Z10,Z10009
A010062,A01,Z10,Z10020
A010063,A01,Z10,Z10038
A010064,A01,Z10,Z10040
A010065,A01,Z05,Z05013
A010066,A01,Z16,Z16003
A020001,A02,Z17,Z17008
A020002,A02,Z17,Z17020
A020003,A02,Z10,Z10020
A020004,A02,Z17,Z17024
A020005,A02,Z17,Z17006
A020006,A02,Z17,Z17018
A020007,A02,Z17,Z17009
A020008,A02,Z17,Z17011
A020009,A02,Z17,Z17003
A020010,A02,Z17,Z17018
A020011,A02,Z17,Z17016
A020012,A02,Z17,Z17020
A020013,A02,Z17,Z17018
A020014,A02,Z17,Z17008
A020015,A02,Z17,Z17015
A020016,A02,Z17,Z17022
A020017,A02,Z17,Z17001
A020018,A02,Z10,Z10008
A020019,A02,Z10,Z10004
A020020,A02,Z04,Z04007
A020021,A02,Z04,Z04009
A020022,A02,Z10,Z10002
A020023,A02,Z10,Z10040
A020024,A02,Z10,Z10035
A020025,A02,Z10,Z10022
A020026,A02,Z10,Z10026
A020027,A02,Z10,Z10027
A020028,A02,Z04,Z04007
A020029,A02,Z10,Z10042
A020030,A02,Z04,Z04011
A020031,A02,Z04,Z04007
A020032,A02,Z10,Z10041
A020033,A02,Z04,Z04008
A020034,A02,Z10,Z10012
A020035,A02,Z10,Z10044
A020036,A02,Z17,Z17004
A020037,A02,Z10,Z10038
A020038,A02,Z10,Z10011
A020039,A02,Z10,Z10011
A020040,A02,Z10,Z10002
A020041,A02,Z10,Z10024
A020042,A02,Z10,Z10011
A020043,A02,Z10,Z10020
A020044,A02,Z10,Z10024
A020045,A02,Z04,Z04008
A020046,A02,Z10,Z10020
A020047,A02,Z10,Z10021
A020048,A02,Z10,Z10026
A020049,A02,Z04,Z04009
A020050,A02,Z10,Z10028
A020051,A02,Z10,Z10037
A020052,A02,Z04,Z04002
A020053,A02,Z10,Z10021
A020054,A02,Z10,Z10017
A020055,A02,Z10,Z10031
A020056,A02,Z10,Z10025
A020057,A02,Z10,Z10024
A020058,A02,Z10,Z10010
A020059,A02,Z04,Z04006
A020060,A02,Z09,Z09014
A020061,A02,Z15,Z15004
A020062,A02,Z09,Z09015
A020063,A02,Z08,Z08009
A020064,A02,Z08,Z08015
A020065,A02,Z15,Z15004
A020066,A02,Z09,Z09007
A020067,A02,Z08,Z08011
A020068,A02,Z09,Z09014
A020069,A02,Z08,Z08006
A020070,A02,Z15,Z15004
A020071,A02,Z08,Z08018
A020072,A02,Z09,Z09011
A020073,A02,Z03,Z03001
A020074,A02,Z16,Z16010
A020075,A02,Z16,Z16008
A020076,A02,Z11,Z11015
A020077,A02,Z11,Z11020
A020078,A02,Z11,Z11004
A020079,A02,Z11,Z11010
A020080,A02,Z11,Z11019
A020081,A02,Z16,Z16009
A020082,A02,Z12,Z12019
A020083,A02,Z03,Z03003
A020084,A02,Z11,Z11017
A020085,A02,Z16,Z16006
A020086,A02,Z11,Z11017
A020087,A02,Z12,Z12014
A020088,A02,Z16,Z16007
A020089,A02,Z14,Z14004
A020090,A02,Z11,Z11016
A020091,A02,Z11,Z11004
A020092,A02,Z11,Z11016
A020093,A02,Z11,Z11001
A020094,A02,Z12,Z12021
A020095,A02,Z11,Z11012
A020096,A02,Z16,Z16015
A020097,A02,Z16,Z16003
A020098,A02,Z13,Z13005
A020099,A02,Z06,Z06009
A020100,A02,Z05,Z05008
A020101,A02,Z13,Z13001
A020102,A02,Z05,Z05013
A020103,A02,Z13,Z13005
A020104,A02,Z06,Z06002
A020105,A02,Z06,Z06013
A020106,A02,Z06,Z06014
A020107,A02,Z05,Z05013
A020108,A02,Z06,Z06012
A020109,A02,Z06,Z06004
A020110,A02,Z13,Z13001
A020111,A02,Z05,Z05006
A020112,A02,Z05,Z05009
A020113,A02,Z01,Z01018
A020114,A02,Z01,Z01005
A020115,A02,Z01,Z01005
A020116,A02,Z07,Z07002
A030001,A03,Z17,Z17011
A030002,A03,Z10,Z10007
A030003,A03,Z10,Z10026
A030004,A03,Z04,Z04008
A030005,A03,Z10,Z10022
A030006,A03,Z10,Z10042
A030007,A03,Z10,Z10020
A030008,A03,Z10,Z10029
A030009,A03,Z17,Z17011
A030010,A03,Z10,Z10022
A030011,A03,Z17,Z17018
A030012,A03,Z17,Z17020
A030013,A03,Z17,Z17021
A030014,A03,Z10,Z10006
A030015,A03,Z10,Z10025
A030016,A03,Z17,Z17009
A030017,A03,Z17,Z17009
A030018,A03,Z17,Z17010
A030019,A03,Z10,Z10005
A030020,A03,Z17,Z17015
A030021,A03,Z15,Z15004
A030022,A03,Z15,Z15004
A030023,A03,Z04,Z04007
A030024,A03,Z09,Z09013
A030025,A03,Z01,Z01018
A030026,A03,Z04,Z04009
A030027,A03,Z10,Z10041
A030028,A03,Z17,Z17022
A030029,A03,Z09,Z09007
A030030,A03,Z09,Z09007
A030031,A03,Z10,Z10039
A030032,A03,Z10,Z10003
A030033,A03,Z17,Z17015
A030034,A03,Z16,Z16013
A030035,A03,Z10,Z10047
A030036,A03,Z15,Z15005
A030037,A03,Z17,Z17003
