,pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm,l_pd,m_pd
0,PD0001,소파,가구,거실가구,L0001,M0008
1,PD0002,스툴/리빙의자,가구,거실가구,L0001,M0008
2,PD0003,탁자,가구,거실가구,L0001,M0008
3,PD0004,장식장/진열장,가구,거실가구,L0001,M0008
4,PD0005,기타가구,가구,기타가구,L0001,M0038
5,PD0006,책상,가구,사무용/학생용가구,L0001,M0131
6,PD0007,책상의자,가구,사무용/학생용가구,L0001,M0131
7,PD0008,책장,가구,사무용/학생용가구,L0001,M0131
8,PD0009,사무용/학생용가구세트,가구,사무용/학생용가구,L0001,M0131
9,PD0010,선반장/행거,가구,수납가구,L0001,M0153
10,PD0011,서랍장/수납장,가구,수납가구,L0001,M0153
11,PD0012,신발장,가구,수납가구,L0001,M0153
12,PD0013,시공가구,가구,시공/DIY가구,L0001,M0171
13,PD0014,DIY가구,가구,시공/DIY가구,L0001,M0171
14,PD0015,야외의자/벤치,가구,야외용가구,L0001,M0187
15,PD0016,유아동침대,가구,유아동가구,L0001,M0240
16,PD0017,유아동옷장,가구,유아동가구,L0001,M0240
17,PD0018,유아동수납장,가구,유아동가구,L0001,M0240
18,PD0019,유아동의자,가구,유아동가구,L0001,M0240
19,PD0020,유아공부상/디딤대,가구,유아동가구,L0001,M0240
20,PD0021,식탁,가구,주방가구,L0001,M0295
21,PD0022,식탁의자,가구,주방가구,L0001,M0295
22,PD0023,식탁세트,가구,주방가구,L0001,M0295
23,PD0024,주방수납장,가구,주방가구,L0001,M0295
24,PD0025,침대,가구,침실가구,L0001,M0313
25,PD0026,침실가구세트,가구,침실가구,L0001,M0313
26,PD0027,매트리스,가구,침실가구,L0001,M0313
27,PD0028,협탁,가구,침실가구,L0001,M0313
28,PD0029,화장대,가구,침실가구,L0001,M0313
29,PD0030,장롱,가구,침실가구,L0001,M0313
30,PD0031,붙박이장,가구,침실가구,L0001,M0313
31,PD0032,운동보조식품,건강식품,건강보조식품,L0002,M0011
32,PD0033,다이어트보조식품,건강식품,건강보조식품,L0002,M0011
33,PD0034,미용보조식품,건강식품,건강보조식품,L0002,M0011
34,PD0035,건강보조식품세트,건강식품,건강보조식품,L0002,M0011
35,PD0036,과일즙,건강식품,건강진액,L0002,M0012
36,PD0037,채소즙,건강식품,건강진액,L0002,M0012
37,PD0038,혼합즙,건강식품,건강진액,L0002,M0012
38,PD0039,발효원액,건강식품,건강진액,L0002,M0012
39,PD0040,로열제리,건강식품,꿀,L0002,M0048
40,PD0041,토종꿀,건강식품,꿀,L0002,M0048
41,PD0042,양봉꿀,건강식품,꿀,L0002,M0048
42,PD0043,꿀세트,건강식품,꿀,L0002,M0048
43,PD0044,종합영양제,건강식품,영양제,L0002,M0223
44,PD0045,일반비타민,건강식품,영양제,L0002,M0223
45,PD0046,발포비타민,건강식품,영양제,L0002,M0223
46,PD0047,오메가3/기타추출오일,건강식품,영양제,L0002,M0223
47,PD0048,칼슘/미네랄,건강식품,영양제,L0002,M0223
48,PD0049,엽산/철분,건강식품,영양제,L0002,M0223
49,PD0050,자연유래영양제,건강식품,영양제,L0002,M0223
50,PD0051,유산균/프로바이오틱스,건강식품,영양제,L0002,M0223
51,PD0052,글루코사민,건강식품,영양제,L0002,M0223
52,PD0053,루테인,건강식품,영양제,L0002,M0223
53,PD0054,기타영양제,건강식품,영양제,L0002,M0223
54,PD0055,영양제세트,건강식품,영양제,L0002,M0223
55,PD0056,홍삼근,건강식품,홍삼/인삼가공식품,L0002,M0348
56,PD0057,홍삼액,건강식품,홍삼/인삼가공식품,L0002,M0348
57,PD0058,홍삼정/분말/환,건강식품,홍삼/인삼가공식품,L0002,M0348
58,PD0059,홍삼절편,건강식품,홍삼/인삼가공식품,L0002,M0348
59,PD0060,홍삼세트,건강식품,홍삼/인삼가공식품,L0002,M0348
60,PD0061,인삼가공식품,건강식품,홍삼/인삼가공식품,L0002,M0348
61,PD0062,어린이홍삼,건강식품,홍삼/인삼가공식품,L0002,M0348
62,PD0063,홍삼/인삼혼합세트,건강식품,홍삼/인삼가공식품,L0002,M0348
63,PD0064,안마의자,건강용품,건강가전,L0003,M0009
64,PD0065,족욕기,건강용품,건강가전,L0003,M0009
65,PD0066,녹즙기/원액기,건강용품,건강가전,L0003,M0009
66,PD0067,향초,건강용품,건강관리용품,L0003,M0010
67,PD0068,디퓨저,건강용품,건강관리용품,L0003,M0010
68,PD0069,기타아로마용품,건강용품,건강관리용품,L0003,M0010
69,PD0070,간병/시니어생활편리용품,건강용품,건강관리용품,L0003,M0010
70,PD0071,보호대/보행보조용품,건강용품,건강관리용품,L0003,M0010
71,PD0072,물리치료/의료기용품,건강용품,건강관리용품,L0003,M0010
